,userName,content,score
0,Isi Ref GBHTXZ6QRXYZU dptbonus,"Kombinasi konten kreator nya sangat lah menarik dan menghibur banget, terlihat sangat menyenangkan dan begitu menghibur ya bila kita sudah mencobanya menonton video, aplikasi ini simpel dan sangat berkwalitas hanya saja masih dibutuhkan tambahan menu seperti masih butuh seperti 360p, 380p, 1200p untuk memudahkan menonton video saat menonton disaat jaringan lagi kurang stabil, selebihnya aplikasi ini sudah sangat bagus dan komplit ya.",3
1,Manisa Agustin (Nagstd),"subtitle terjemah di tiktok sekarang ilang, dan harus di aktifkan secara manual, jujurly, para pengguna tiktok lebih suka tiktok yang subtitle terjemah-nya seperti dulu, jangan yang seperti sekarang, yang harus di aktifkan secara manual, walaupun itu simple cara aktifkan-nya, tapi itu ribet. please tiktok, jangan terlalu banyak update, kalau mau sekaligus saja, dari pada sedikit sedikit, malah kayak ribet banget.",2
2,Irma Wiji astuti,"TOLONG DI PERBAIKI DAN D PERHATIKAN . Akhir2 ini tiktok sering update. Juga kadang error .g bisa kebuka lah. Cuma muncul logo kadang tidak menanggapi hal tersebut mempengaruhi aplikasi lain jadi ngeleg. Ngebug. Patah2 lelet ,sudah banyak yg mengeluh jadi mohon buat management tiktok tolong di tindak lanjuti",3
3,Dani Tri setiawan,"aplikasi jelek, masa kalo mau liat tiktok masuknya lama bgt udh coba berkali kali tpi masih aja kaya gitu, mau dibilang antara nge lag atau bug saya gak tau, masa pas saya uninstall baru di download lagi baru bisa masuk emg aneh saya sama aplikasi yang satu ini, semoga bisa di perbaiki",1
4,Luffi Mangure,"Ada banyak hal menarik bisa kita dapatkan dengan menggunakan aplikasi tiktok, kita bisa belajar banyak dari beberapa konten kreator yang terdapat didalam nya, hanya saja masih sering muncul iklan saat menonton video yang membuat kita agak terasa terganggu ya. Aplikasi ini sebenarnya sudah sangat bagus hanya saja masih dibutuhkan sedikit tambahan pada menu pengaturan nya seperti 360p, 380p bahkan kalau bisa 1300p yang dapat berfungsi memberi kan kenyamanan saat menonton video saat jaringan kurang",2
5,Rika,"Tiktok sekarang terasa beda banget sama yang dulu,kenapa jadi beda?,karna sering terjadi bug dan ngedownload nya lama banget,kadang pas udah mau selesai main tiktok pasti ngeleg kalo mau keluar dari aplikasinya. Jadi mohon diperbaiki,sekian terimakasih😁🙏",3
6,Irena Viranza,"gajelas,kalo mau buka apl nya suka susah ngebug Mulu,udh gtu fitur repost kadang"" muncul,kadang"" ilang. pokoknya tik tok dri pertengahan bulan September sampe akhir"" ini ngebug Mulu, jdi pengen uninstall aja bawaan nya!!! udh gtu kalo belum update gabisa buka apl !!!😡😡😡😡",2
7,Firman Moulana,"Setelah beberapa update,aplikasi ini sangat berat untuk hp yg speknya di bawah rata2,sama sekali tidak merakyat,stiap kali buka slalu penuh dengan bug,dan salalu kluar sendiri,padahal jaringan kuat,tolong segera di perbaiki.jngan sampe performanya menurun karna banyak keluhan2 dari pengguna aplikasi ini..",1
8,Molla Mansu,"Aplikasi tiktok sangat nyaman ketika digunakan menonton video ya, hanya saja masih butuh penambahan menu saja guna menyempurnakan aplikasi ini hingga makin bagus dari segi level sudah sangat mantap, pengalaman saya ketika menggunakan aplikasi ini nyaris tanpa bug sama sekali sehingga membuat kita semakin nyaman saat menonton video menggunakan aplikasi ini, aplikasi ini hanya butuh penambahan menu seperti 360p, 380p untuk memudahkan menonton video saat jaringan kurang stabil.",5
9,Nandito Frederico S,"Setelah update, tiktok malah makin gajelas. Sudah banyak yang komplain soal masalah ini, yang dimana itu adalah aplikasi ini tidak berjalan semestinya, terkadang stuck di logo dan membuat hp menjadi lag saat berada di aplikasi lain ataupun saat keluar tiktok.. adapun juga aplikasi ini benar-benar sudah tidak bisa dibuka sama sekali. Padahal secara pribadi penyimpanan saya masih banyak tapi dari tiktok sendiri masih mengalami hal seperti itu meskipun hp sudah di restart",1
