,content
0,"Kombinasi konten kreator nya sangat lah menarik dan menghibur banget, terlihat sangat menyenangkan dan begitu menghibur ya bila kita sudah mencobanya menonton video, aplikasi ini simpel dan sangat berkwalitas hanya saja masih dibutuhkan tambahan menu seperti masih butuh seperti 360p, 380p, 1200p untuk memudahkan menonton video saat menonton disaat jaringan lagi kurang stabil, selebihnya aplikasi ini sudah sangat bagus dan komplit ya."
1,"subtitle terjemah di tiktok sekarang ilang, dan harus di aktifkan secara manual, jujurly, para pengguna tiktok lebih suka tiktok yang subtitle terjemah-nya seperti dulu, jangan yang seperti sekarang, yang harus di aktifkan secara manual, walaupun itu simple cara aktifkan-nya, tapi itu ribet. please tiktok, jangan terlalu banyak update, kalau mau sekaligus saja, dari pada sedikit sedikit, malah kayak ribet banget."
2,"TOLONG DI PERBAIKI DAN D PERHATIKAN . Akhir2 ini tiktok sering update. Juga kadang error .g bisa kebuka lah. Cuma muncul logo kadang tidak menanggapi hal tersebut mempengaruhi aplikasi lain jadi ngeleg. Ngebug. Patah2 lelet ,sudah banyak yg mengeluh jadi mohon buat management tiktok tolong di tindak lanjuti"
3,"aplikasi jelek, masa kalo mau liat tiktok masuknya lama bgt udh coba berkali kali tpi masih aja kaya gitu, mau dibilang antara nge lag atau bug saya gak tau, masa pas saya uninstall baru di download lagi baru bisa masuk emg aneh saya sama aplikasi yang satu ini, semoga bisa di perbaiki"
4,"Ada banyak hal menarik bisa kita dapatkan dengan menggunakan aplikasi tiktok, kita bisa belajar banyak dari beberapa konten kreator yang terdapat didalam nya, hanya saja masih sering muncul iklan saat menonton video yang membuat kita agak terasa terganggu ya. Aplikasi ini sebenarnya sudah sangat bagus hanya saja masih dibutuhkan sedikit tambahan pada menu pengaturan nya seperti 360p, 380p bahkan kalau bisa 1300p yang dapat berfungsi memberi kan kenyamanan saat menonton video saat jaringan kurang"
5,"Tiktok sekarang terasa beda banget sama yang dulu,kenapa jadi beda?,karna sering terjadi bug dan ngedownload nya lama banget,kadang pas udah mau selesai main tiktok pasti ngeleg kalo mau keluar dari aplikasinya. Jadi mohon diperbaiki,sekian terimakasih😁🙏"
6,"gajelas,kalo mau buka apl nya suka susah ngebug Mulu,udh gtu fitur repost kadang"" muncul,kadang"" ilang. pokoknya tik tok dri pertengahan bulan September sampe akhir"" ini ngebug Mulu, jdi pengen uninstall aja bawaan nya!!! udh gtu kalo belum update gabisa buka apl !!!😡😡😡😡"
7,"Setelah beberapa update,aplikasi ini sangat berat untuk hp yg speknya di bawah rata2,sama sekali tidak merakyat,stiap kali buka slalu penuh dengan bug,dan salalu kluar sendiri,padahal jaringan kuat,tolong segera di perbaiki.jngan sampe performanya menurun karna banyak keluhan2 dari pengguna aplikasi ini.."
8,"Aplikasi tiktok sangat nyaman ketika digunakan menonton video ya, hanya saja masih butuh penambahan menu saja guna menyempurnakan aplikasi ini hingga makin bagus dari segi level sudah sangat mantap, pengalaman saya ketika menggunakan aplikasi ini nyaris tanpa bug sama sekali sehingga membuat kita semakin nyaman saat menonton video menggunakan aplikasi ini, aplikasi ini hanya butuh penambahan menu seperti 360p, 380p untuk memudahkan menonton video saat jaringan kurang stabil."
9,"Setelah update, tiktok malah makin gajelas. Sudah banyak yang komplain soal masalah ini, yang dimana itu adalah aplikasi ini tidak berjalan semestinya, terkadang stuck di logo dan membuat hp menjadi lag saat berada di aplikasi lain ataupun saat keluar tiktok.. adapun juga aplikasi ini benar-benar sudah tidak bisa dibuka sama sekali. Padahal secara pribadi penyimpanan saya masih banyak tapi dari tiktok sendiri masih mengalami hal seperti itu meskipun hp sudah di restart"
10,"Terdapat banyak perbedaan antara aplikasi tiktok dibandingkan dengan aplikasi lainnya, hanya saja aplikasi tiktok jauh lebih unggul dibanding kan aplikasi serupa seperti dari segi fitur-fitur aplikasi tiktok jauh lebih lengkap dan sangat sempurna banget ya. Aplikasi ini sangat bagus dan memiliki kwalitas yang sangat komplit ya, menurut aku aplikasi ini sudah sangat komplit ya hanya saja masih membutuhkan pengaturan seperti 360p, 380p bahkan sampai 1200p untuk memudahkan menonton video."
11,"setelah update dan saat membuka likes akun pasti selalu lemot, RAM nya begitu besar sekali setelah update sangat tidak nyaman sebaik nya hilangkan saja fitur yg tidak digunakan. suka kesel kalo stuck di depan logo tiktok dan memengaruhi saat membuka aplikasi lain."
12,aplikasinya bagus sih cuma kalo mau coba beberapa filter yang viral pasti selalu ada error (filter ini tidak tersedia di kawasan anda) cepat perbaiki!!! saya sudah mulai muak untuk tidak segan segan hapus aplikasi ini! @tiktok
13,"Saya kecewa sama ini aplikasi. Setiap posting vidio ke tik tok pasti blur/buruk, padahal vidio aslinya sudah sangat stabil/HD, tapi kenapa setiap di post ke tik tok jadi blur/buruk. Tolong kerjasamanya di perbaiki terimakasih🙏"
14,"Aplikasinya lumayan bagus, tapi masih banyak bug dan kesalahan. Pernah beberapa kali ngestuck di logo aplikasinya, trus harus download ulang/update dulu agar gk ngestuck lagi. Jujur ini agak menggangu apalagi pas memori atau sinyal lagi masa masa kritis."
15,"Saya kira hp saya yang sudah usang tp ternyata banyak ulasan teman² mengalami hal yang sama, tiba² ngelag yang tadi nya ram nya sisa 2 gb an ketika buka tiktok langsung habis dan hp nge freeze. Terlalu banyak makan ram. Saya ketika ingin buka tiktok ngebela2in utk uninstall dlu baru download lg. Biar gak stuck di logo tiktok. Hmmm Tiktok ini sudah mendunia, jadi fikirkan lah baik2 apa saja yang ingin di upgrade. Jangan malah menjadi aplikasi yang berat yang tidak ramah di berbagai ponsel."
16,"setelah update tiktok jadi sering bug,terkadang tidak bisa masuk aplikasi dan aplikasinya seperti ada virus bisa buat handphone ngebug, handphone saya ram 6 tapi kalau download tiktok yang baru saja update seperti ini, handphonenya jadi suka ngebug dan lemot jadi setiap hari saya mulai ulang (restart) terus setelah buka tiktok"
